"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","OD1","REM","EQD"
"99800999999","2020-01-04T02:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","310,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0052,1","+9999,9","99999,9",,"5,99,0015,1,999","SYN040RPRN6 46/// /3102 10052 90140 333 91203=",
"99800999999","2020-01-04T03:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","350,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0047,1","+9999,9","99999,9",,"5,99,0026,1,999","SYN040RPRN6 46/// /3505 10047 90240 333 91205=",
"99800999999","2020-01-04T04:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","350,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0039,1","+9999,9","99999,9",,"5,99,0021,1,999","SYN040RPRN6 46/// /3503 10039 90400 333 91204=",
"99800999999","2020-01-04T05:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","050,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0045,1","+9999,9","99999,9",,"5,99,0031,1,999","SYN040RPRN6 46/// /0506 10045 90440 333 91206=",
"99800999999","2020-01-04T06:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","040,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0043,1","+9999,9","99999,9",,"5,99,0036,1,999","SYN040RPRN6 46/// /0407 10043 90540 333 91207=",
"99800999999","2020-01-04T07:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","030,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0041,1","+9999,9","99999,9",,"5,99,0041,1,999","SYN040RPRN6 46/// /0307 10041 90640 333 91208=",
"99800999999","2020-01-04T08:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","040,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0040,1","+9999,9","99999,9",,"5,99,0051,1,999","SYN040RPRN6 46/// /0408 10040 90740 333 91210=",
"99800999999","2020-01-04T09:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","040,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0036,1","+9999,9","99999,9",,"5,99,0057,1,999","SYN040RPRN6 46/// /0410 10036 90840 333 91211=",
"99800999999","2020-01-04T10:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","030,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0033,1","+9999,9","99999,9",,"5,99,0062,1,999","SYN040RPRN6 46/// /0311 10033 90940 333 91212=",
"99800999999","2020-01-04T13:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","010,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0006,1","+9999,9","99999,9",,"5,99,0062,1,999","SYN040RPRN6 46/// /0110 10006 91310 333 91212=",
"99800999999","2020-01-04T14:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","020,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0006,1","+9999,9","99999,9",,"5,99,0057,1,999","SYN040RPRN6 46/// /0209 10006 91340 333 91211=",
"99800999999","2020-01-04T15:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","010,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0008,1","+9999,9","99999,9",,"5,99,0051,1,999","SYN040RPRN6 46/// /0108 10008 91440 333 91210=",
"99800999999","2020-01-04T16:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","350,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0012,1","+9999,9","99999,9",,"5,99,0036,1,999","SYN040RPRN6 46/// /3505 10012 91540 333 91207=",
